"","mean","std","mode","std/mean","max","min","attack","file"
"609",96.3,0.141421356237312,96.3,0.00146854990900635,96.5,96.1,0,"bis_limpio_21-06.csv"
"610",96,0.346410161513774,96.3,0.00360843918243515,96.3,95.5,0,"bis_limpio_21-06.csv"
"611",95.3,0.158113883008421,95.5,0.00165911734531397,95.5,95.1,0,"bis_limpio_21-06.csv"
"612",94.78,0.34205262752974,95.1,0.00360891145315194,95.1,94.3,0,"bis_limpio_21-06.csv"
"613",95.4,0.23452078799117,95.3,0.00245828918229738,95.8,95.2,0,"bis_limpio_21-06.csv"
"614",95.46,0.26076809620811,95.3,0.00273170014883836,95.9,95.3,0,"bis_limpio_21-06.csv"
"615",95.76,0.134164078649986,95.7,0.00140104509868407,96,95.7,0,"bis_limpio_21-06.csv"
"616",95.88,0.0447213595499996,95.9,0.000466430533479345,95.9,95.8,0,"bis_limpio_21-06.csv"
"617",95.9,0,95.9,0,95.9,95.9,0,"bis_limpio_21-06.csv"
"618",95.9,0.0707106781186558,95.9,0.000737337623760748,96,95.8,0,"bis_limpio_21-06.csv"
"619",95.42,0.216794833886788,95.6,0.00227200622392358,95.6,95.1,0,"bis_limpio_21-06.csv"
"620",94.7,0.689202437604511,95.1,0.00727774485326833,95.5,93.8,0,"bis_limpio_21-06.csv"
"621",93.36,0.0894427190999937,93.3,0.000958041121465228,93.5,93.3,0,"bis_limpio_21-06.csv"
"622",92.82,0.303315017762063,92.9,0.00326777653266605,93.1,92.3,0,"bis_limpio_21-06.csv"
"623",92.84,0.114017542509914,92.8,0.00122810795465224,93,92.7,0,"bis_limpio_21-06.csv"
"624",93.78,0.526307894677628,92.9,0.00561215498696554,94.3,92.9,0,"bis_limpio_21-06.csv"
"625",94.04,0.0894427190999929,94,0.000951113559123701,94.2,94,0,"bis_limpio_21-06.csv"
"626",93.86,0.151657508881029,93.8,0.00161578424122128,94.1,93.7,0,"bis_limpio_21-06.csv"
